question_id	section	state_code	question_number_in_section	question_text	option_a	option_b	option_c	option_d	source_notes
129	general	DE	129	Vom Volk gewählt wird in Deutschland …	die Bundeskanzlerin/der Bundeskanzler.	die Ministerpräsidentin/der Ministerpräsident eines Bundeslandes.	der Bundestag.	die Bundespräsidentin/der Bundespräsident.	
130	general	DE	130	Welcher Stimmzettel wäre bei einer Bundestagswahl gültig? In Anlehnung an Bundeswahlordnung (BWO), Anlage 26	1	2	3	4	Official PDF uses numeric-only answer options.
131	general	DE	131	In Deutschland ist eine Bürgermeisterin/ein Bürgermeister …	die Leiterin/der Leiter einer Schule.	die Chefin/der Chef einer Bank.	das Oberhaupt einer Gemeinde.	die/der Vorsitzende einer Partei.	
132	general	DE	132	Viele Menschen in Deutschland arbeiten in ihrer Freizeit ehrenamtlich. Was bedeutet das?	Sie arbeiten als Soldatinnen/Soldaten.	Sie arbeiten freiwillig und unbezahlt in Vereinen und Verbänden.	Sie arbeiten in der Bundesregierung.	Sie arbeiten in einem Krankenhaus und verdienen dabei Geld.	
133	general	DE	133	Was ist bei Bundestags- und Landtagswahlen in Deutschland erlaubt?	Der Ehemann wählt für seine Frau mit.	Man kann durch Briefwahl seine Stimme abgeben.	Man kann am Wahltag telefonisch seine Stimme abgeben.	Kinder ab dem Alter von 14 Jahren dürfen wählen.	
134	general	DE	134	Man will die Buslinie abschaffen, mit der Sie immer zur Arbeit fahren. Was können Sie machen, um die Buslinie zu erhalten?	Ich beteilige mich an einer Bürgerinitiative für die Erhaltung der Buslinie oder gründe selber eine Initiative.	Ich werde Mitglied in einem Sportverein und trainiere Radfahren.	Ich wende mich an das Finanzamt, weil ich als Steuerzahlerin/Steuerzahler ein Recht auf die Buslinie habe.	Ich schreibe einen Brief an das Forstamt der Gemeinde.	
135	general	DE	135	Wen vertreten die Gewerkschaften in Deutschland?	große Unternehmen	kleine Unternehmen	Selbstständige	Arbeitnehmerinnen und Arbeitnehmer	
136	general	DE	136	Sie gehen in Deutschland zum Arbeitsgericht bei …	falscher Nebenkostenabrechnung.	ungerechtfertigter Kündigung durch Ihre Chefin/Ihren Chef.	Problemen mit den Nachbarinnen/Nachbarn.	Schwierigkeiten nach einem Verkehrsunfall.	
137	general	DE	137	Welches Gericht ist in Deutschland bei Konflikten in der Arbeitswelt zuständig?	das Familiengericht	das Strafgericht	das Arbeitsgericht	das Amtsgericht	
138	general	DE	138	Was kann ich in Deutschland machen, wenn mir meine Arbeitgeberin/mein Arbeitgeber zu Unrecht gekündigt hat?	weiterarbeiten und freundlich zur Chefin/zum Chef sein	ein Mahnverfahren gegen die Arbeitgeberin/den Arbeitgeber führen	Kündigungsschutzklage erheben	die Arbeitgeberin/den Arbeitgeber bei der Polizei anzeigen	
139	general	DE	139	Wann kommt es in Deutschland zu einem Prozess vor Gericht? Wenn jemand …	zu einer anderen Religion übertritt.	eine Straftat begangen hat und angeklagt wird.	eine andere Meinung als die der Regierung vertritt.	sein Auto falsch geparkt hat und es abgeschleppt wird.	
140	general	DE	140	Was macht eine Schöffin/ein Schöffe in Deutschland? Sie/Er …	entscheidet mit Richterinnen/Richtern über Schuld und Strafe.	gibt Bürgerinnen/Bürgern rechtlichen Rat.	stellt Urkunden aus.	verteidigt die Angeklagte/den Angeklagten.	
141	general	DE	141	Wer berät in Deutschland Personen bei Rechtsfragen und vertritt sie vor Gericht?	eine Rechtsanwältin/ein Rechtsanwalt	eine Richterin/ein Richter	eine Schöffin/ein Schöffe	eine Staatsanwältin/ein Staatsanwalt	
142	general	DE	142	Was ist die Hauptaufgabe einer Richterin/eines Richters in Deutschland? Eine Richterin/ein Richter …	vertritt Bürgerinnen und Bürger vor einem Gericht.	arbeitet an einem Gericht und spricht Urteile.	ändert Gesetze.	betreut Jugendliche vor Gericht.	
143	general	DE	143	Eine Richterin/ein Richter in Deutschland gehört zur …	Judikative.	Exekutive.	Operative.	Legislative.	
144	general	DE	144	Eine Richterin/ein Richter gehört in Deutschland zur …	vollziehenden Gewalt.	rechtsprechenden Gewalt.	planenden Gewalt.	gesetzgebenden Gewalt.	
145	general	DE	145	In Deutschland wird die Staatsgewalt geteilt. Für welche Staatsgewalt arbeitet eine Richterin/ein Richter? Für die …	Judikative	Exekutive	Presse	Legislative	
146	general	DE	146	Wie nennt man in Deutschland ein Verfahren vor einem Gericht?	Programm	Prozedur	Protokoll	Prozess	
147	general	DE	147	Was ist die Arbeit einer Richterin/eines Richters in Deutschland?	Deutschland regieren	Recht sprechen	Pläne erstellen	Gesetze erlassen	
148	general	DE	148	Was ist eine Aufgabe der Polizei in Deutschland?	das Land zu verteidigen	die Bürgerinnen und Bürger abzuhören	die Gesetze zu beschließen	die Einhaltung von Gesetzen zu überwachen	
149	general	DE	149	Was ist ein Beispiel für antisemitisches Verhalten? □ ein jüdisches Fest besuchen □ die israelische Regierung kritisieren □ den Holocaust leugnen □ gegen Juden Fußball spielen.					
150	general	DE	150	Eine Gerichtsschöffin/ein Gerichtsschöffe in Deutschland ist …	die Stellvertreterin/der Stellvertreter des Stadtoberhaupts.	eine ehrenamtliche Richterin/ein ehrenamtlicher Richter.	ein Mitglied eines Gemeinderats.	eine Person, die Jura studiert hat.	
151	general	DE	151	Wer baute die Mauer in Berlin?	Großbritannien	die DDR	die Bundesrepublik Deutschland	die USA	
152	general	DE	152	Wann waren die Nationalsozialisten mit Adolf Hitler in Deutschland an der Macht?	1918 bis 1923	1932 bis 1950	1933 bis 1945	1945 bis 1989	
153	general	DE	153	Was war am 8. Mai 1945?	Tod Adolf Hitlers	Beginn des Berliner Mauerbaus	Wahl von Konrad Adenauer zum Bundeskanzler	Ende des Zweiten Weltkriegs in Europa	
154	general	DE	154	Wann war der Zweite Weltkrieg zu Ende?	1933	1945	1949	1961	Official PDF uses numeric-only answer options.
155	general	DE	155	Wann waren die Nationalsozialisten in Deutschland an der Macht?	1888 bis 1918	1921 bis 1934	1933 bis 1945	1949 bis 1963	
156	general	DE	156	In welchem Jahr wurde Hitler Reichskanzler?	1923	1927	1933	1936	Official PDF uses numeric-only answer options.
157	general	DE	157	Die Nationalsozialisten mit Adolf Hitler errichteten 1933 in Deutschland …	eine Diktatur.	einen demokratischen Staat.	eine Monarchie.	ein Fürstentum.	
158	general	DE	158	"Das ""Dritte Reich"" war eine …"	Diktatur.	Demokratie.	Monarchie.	Räterepublik.	
159	general	DE	159	Was gab es in Deutschland nicht während der Zeit des Nationalsozialismus?	freie Wahlen	Pressezensur	willkürliche Verhaftungen	Verfolgung von Juden	
160	general	DE	160	Welcher Krieg dauerte von 1939 bis 1945?	der Erste Weltkrieg	der Zweite Weltkrieg	der Vietnamkrieg	der Golfkrieg	
161	general	DE	161	Was kennzeichnete den NS-Staat? Eine Politik …	des staatlichen Rassismus	der Meinungsfreiheit	der allgemeinen Religionsfreiheit	der Entwicklung der Demokratie	
162	general	DE	162	Claus Schenk Graf von Stauffenberg wurde bekannt durch …	eine Goldmedaille bei den Olympischen Spielen 1936.	den Bau des Reichstagsgebäudes.	den Aufbau der Wehrmacht.	das Attentat auf Hitler am 20. Juli 1944.	
163	general	DE	163	In welchem Jahr zerstörten die Nationalsozialisten Synagogen und jüdische Geschäfte in Deutschland?	1925	1930	1938	1945	Official PDF uses numeric-only answer options.
164	general	DE	164	Was passierte am 9. November 1938 in Deutschland?	Mit dem Angriff auf Polen beginnt der Zweite Weltkrieg.	Die Nationalsozialisten verlieren eine Wahl und lösen den Reichstag auf.	Jüdische Geschäfte und Synagogen werden durch Nationalsozialisten und ihre Anhänger zerstört.	Hitler wird Reichspräsident und lässt alle Parteien verbieten.	
165	general	DE	165	Wie hieß der erste Bundeskanzler der Bundesrepublik Deutschland?	Konrad Adenauer	Kurt Georg Kiesinger	Helmut Schmidt	Willy Brandt	
166	general	DE	166	"Bei welchen Demonstrationen in Deutschland riefen die Menschen ""Wir sind das Volk""?"	beim Arbeiteraufstand 1953 in der DDR	bei den Demonstrationen 1968 in der Bundesrepublik Deutschland	bei den Anti-Atomkraft-Demonstrationen 1985 in der Bundesrepublik Deutschland	bei den Montagsdemonstrationen 1989 in der DDR	
167	general	DE	167	"Welche Länder wurden nach dem Zweiten Weltkrieg in Deutschland als ""Alliierte Besatzungsmächte"" bezeichnet?"	Sowjetunion, Großbritannien, Polen, Schweden	Frankreich, Sowjetunion, Italien, Japan	USA, Sowjetunion, Spanien, Portugal	USA, Sowjetunion, Großbritannien, Frankreich	
168	general	DE	168	"Welches Land war keine ""Alliierte Besatzungsmacht"" in Deutschland?"	USA	Sowjetunion	Frankreich	Japan	
169	general	DE	169	Wann wurde die Bundesrepublik Deutschland gegründet?	1939	1945	1949	1951	Official PDF uses numeric-only answer options.
170	general	DE	170	Was gab es während der Zeit des Nationalsozialismus in Deutschland?	das Verbot von Parteien	das Recht zur freien Entfaltung der Persönlichkeit	Pressefreiheit	den Schutz der Menschenwürde	
171	general	DE	171	Soziale Marktwirtschaft bedeutet, die Wirtschaft …	steuert sich allein nach Angebot und Nachfrage.	wird vom Staat geplant und gesteuert, Angebot und Nachfrage werden nicht berücksichtigt.	richtet sich nach der Nachfrage im Ausland.	richtet sich nach Angebot und Nachfrage, aber der Staat sorgt für einen sozialen Ausgleich.	
172	general	DE	172	In welcher Besatzungszone wurde die DDR gegründet? In der …	amerikanischen Besatzungszone	französischen Besatzungszone	britischen Besatzungszone	sowjetischen Besatzungszone	
173	general	DE	173	Die Bundesrepublik Deutschland ist ein Gründungsmitglied …	des Nordatlantikpakts (NATO).	der Vereinten Nationen (VN).	der Europäischen Union (EU).	des Warschauer Pakts.	
174	general	DE	174	Wann wurde die DDR gegründet?	1947	1949	1953	1956	Official PDF uses numeric-only answer options.
175	general	DE	175	Wie viele Besatzungszonen gab es in Deutschland nach dem Zweiten Weltkrieg?	3	4	5	6	Official PDF uses numeric-only answer options.
176	general	DE	176	Wie waren die Besatzungszonen Deutschlands nach 1945 verteilt?	1=Großbritannien, 2=Sowjetunion, 3=Frankreich, 4=USA	1=Sowjetunion, 2=Großbritannien, 3=USA, 4=Frankreich	1=Großbritannien, 2=Sowjetunion, 3=USA, 4=Frankreich	1=Großbritannien, 2=USA, 3=Sowjetunion, 4=Frankreich	
177	general	DE	177	Welche deutsche Stadt wurde nach dem Zweiten Weltkrieg in vier Sektoren aufgeteilt?	München	Berlin	Dresden	Frankfurt/Oder	
178	general	DE	178	Vom Juni 1948 bis zum Mai 1949 wurden die Bürgerinnen und Bürger von West-Berlin durch eine Luftbrücke versorgt. Welcher Umstand war dafür verantwortlich?	Für Frankreich war eine Versorgung der West-Berliner Bevölkerung mit dem Flugzeug kostengünstiger.	Die amerikanischen Soldatinnen und Soldaten hatten beim Landtransport Angst vor Überfällen.	Für Großbritannien war die Versorgung über die Luftbrücke schneller.	Die Sowjetunion unterbrach den gesamten Verkehr auf dem Landwege.	
179	general	DE	179	Wie endete der Zweite Weltkrieg in Europa offiziell?	mit dem Tod Adolf Hitlers	durch die bedingungslose Kapitulation Deutschlands	mit dem Rückzug der Deutschen aus den besetzten Gebieten	durch eine Revolution in Deutschland	
180	general	DE	180	Der erste Bundeskanzler der Bundesrepublik Deutschland war …	Ludwig Erhard.	Willy Brandt.	Konrad Adenauer.	Gerhard Schröder.	
181	general	DE	181	Was wollte Willy Brandt mit seinem Kniefall 1970 im ehemaligen jüdischen Ghetto in Warschau ausdrücken? © Bundesregierung/Engelbert Reineke	Er hat sich den ehemaligen Alliierten unterworfen.	Er bat Polen und die polnischen Juden um Vergebung.	Er zeigte seine Demut vor dem Warschauer Pakt.	Er sprach ein Gebet am Grab des Unbekannten Soldaten.	
182	general	DE	182	Wie heißt das jüdische Gebetshaus? □ Basilika □ Moschee □ Synagoge □ Kirche					
183	general	DE	183	"Wann war in der Bundesrepublik Deutschland das ""Wirtschaftswunder""?"	40er Jahre	50er Jahre	70er Jahre	80er Jahre	
184	general	DE	184	184. Auf welcher rechtlichen Grundlage wurde der Staat Israel gegründet? □ eine Resolution der Vereinten Nationen □ ein Beschluss des Zionistenkongresses □ ein Vorschlag der Bundesregierung □ ein Vorschlag der UdSSR					
185	general	DE	185	"Wofür stand der Ausdruck ""Eiserner Vorhang""? Für die Abschottung …"	des Warschauer Pakts gegen den Westen	Norddeutschlands gegen Süddeutschland	Nazi-Deutschlands gegen die Alliierten	Europas gegen die USA	
186	general	DE	186	Im Jahr 1953 gab es in der DDR einen Aufstand, an den lange Zeit in der Bundesrepublik Deutschland ein Feiertag erinnerte. Wann war das?	1. Mai	17. Juni	20. Juli	9. November	
187	general	DE	187	Welcher deutsche Staat hatte eine schwarz-rot-goldene Flagge mit Hammer, Zirkel und Ährenkranz?	Preußen	Bundesrepublik Deutschland	"""Drittes Reich"""	DDR	
188	general	DE	188	In welchem Jahr wurde die Mauer in Berlin gebaut?	1953	1956	1959	1961	Official PDF uses numeric-only answer options.
189	general	DE	189	Wann baute die DDR die Mauer in Berlin?	1919	1933	1961	1990	Official PDF uses numeric-only answer options.
190	general	DE	190	Was bedeutet die Abkürzung DDR?	Dritter Deutscher Rundfunk	Die Deutsche Republik	Dritte Deutsche Republik	Deutsche Demokratische Republik	
191	general	DE	191	Wann wurde die Mauer in Berlin für alle geöffnet?	1987	1989	1992	1995	Official PDF uses numeric-only answer options.
192	general	DE	192	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Brandenburg	Bayern	Saarland	Hessen	
193	general	DE	193	Von 1961 bis 1989 war Berlin …	ohne Bürgermeister.	ein eigener Staat.	durch eine Mauer geteilt.	nur mit dem Flugzeug erreichbar.	
194	general	DE	194	Am 3. Oktober feiert man in Deutschland den Tag der Deutschen …	Einheit.	Nation.	Bundesländer.	Städte.	
195	general	DE	195	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Hessen	Sachsen-Anhalt	Nordrhein-Westfalen	Saarland	
196	general	DE	196	"Warum nennt man die Zeit im Herbst 1989 in der DDR ""Die Wende""? In dieser Zeit veränderte sich die DDR politisch …"	von einer Diktatur zur Demokratie.	von einer liberalen Marktwirtschaft zum Sozialismus.	von einer Monarchie zur Sozialdemokratie.	von einem religiösen Staat zu einem kommunistischen Staat.	
197	general	DE	197	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Thüringen	Hessen	Bayern	Bremen	
198	general	DE	198	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Bayern	Niedersachsen	Sachsen	Baden-Württemberg	
199	general	DE	199	"Mit der Abkürzung ""Stasi"" meinte man in der DDR …"	das Parlament.	das Ministerium für Staatssicherheit.	eine regierende Partei.	das Ministerium für Volksbildung.	
200	general	DE	200	Welches heutige deutsche Bundesland gehörte früher zum Gebiet der DDR?	Hessen	Schleswig-Holstein	Mecklenburg-Vorpommern	Saarland	
201	general	DE	201	Welche der folgenden Auflistungen enthält nur Bundesländer, die zum Gebiet der früheren DDR gehörten?	Niedersachsen, Nordrhein-Westfalen, Hessen, Schleswig-Holstein, Brandenburg	Mecklenburg-Vorpommern, Brandenburg, Sachsen, Sachsen-Anhalt, Thüringen	Bayern, Baden-Württemberg, Rheinland-Pfalz, Thüringen, Sachsen	Sachsen, Thüringen, Hessen, Niedersachen, Brandenburg	
202	general	DE	202	"Zu wem gehörte die DDR im ""Kalten Krieg""?"	zu den Westmächten	zum Warschauer Pakt	zur NATO	zu den blockfreien Staaten	
203	general	DE	203	Wie hieß das Wirtschaftssystem der DDR?	Marktwirtschaft	Planwirtschaft	Angebot und Nachfrage	Kapitalismus	
204	general	DE	204	Wie wurden die Bundesrepublik Deutschland und die DDR zu einem Staat?	Die Bundesrepublik hat die DDR besetzt.	Die heutigen fünf östlichen Bundesländer sind der Bundesrepublik Deutschland beigetreten.	Die westlichen Bundesländer sind der DDR beigetreten.	Die DDR hat die Bundesrepublik Deutschland besetzt.	
205	general	DE	205	Mit dem Beitritt der DDR zur Bundesrepublik Deutschland gehören die neuen Bundesländer nun auch …	zur Europäischen Union.	zum Warschauer Pakt.	zur OPEC.	zur Europäischen Verteidigungsgemeinschaft.	
206	general	DE	206	206. Woran erinnern die sogenannten „Stolpersteine“ in Deutschland? □ an berühmte deutsche Politikerinnen und Politiker □ an die Opfer des Nationalsozialismus □ an Verkehrstote □ an bekannte jüdische Musiker					
207	general	DE	207	In welchem Militärbündnis war die DDR Mitglied?	in der NATO	im Rheinbund	im Warschauer Pakt	im Europabündnis	
208	general	DE	208	"Was war die ""Stasi""?"	"der Geheimdienst im ""Dritten Reich"""	eine berühmte deutsche Gedenkstätte	der Geheimdienst der DDR	ein deutscher Sportverein während des Zweiten Weltkrieges	
209	general	DE	209	Welches war das Wappen der Deutschen Demokratischen Republik?	Bild 1	Bild 2	Bild 3	Bild 4	Official PDF uses image labels for answer options.
210	general	DE	210	Was ereignete sich am 17. Juni 1953 in der DDR?	der feierliche Beitritt zum Warschauer Pakt	landesweite Streiks und ein Volksaufstand	der 1. SED-Parteitag	der erste Besuch Fidel Castros	
211	general	DE	211	"Welcher Politiker steht für die ""Ostverträge""?"	Helmut Kohl	Willy Brandt	Michail Gorbatschow	Ludwig Erhard	
212	general	DE	212	Wie heißt Deutschland mit vollem Namen?	Bundesstaat Deutschland	Bundesländer Deutschland	Bundesrepublik Deutschland	Bundesbezirk Deutschland	
213	general	DE	213	Wie viele Einwohner hat Deutschland?	70 Millionen	78 Millionen	84 Millionen	90 Millionen	
214	general	DE	214	Welche Farben hat die deutsche Flagge?	schwarz-rot-gold	rot-weiß-schwarz	schwarz-rot-grün	schwarz-gelb-rot	
215	general	DE	215	"Wer wird als ""Kanzler der Deutschen Einheit"" bezeichnet?"	Gerhard Schröder	Helmut Kohl	Konrad Adenauer	Helmut Schmidt	
216	general	DE	216	Welches Symbol ist im Plenarsaal des Deutschen Bundestages zu sehen? © Deutscher Bundestag/Janine Schmitz	der Bundesadler	die Fahne der Stadt Berlin	der Reichsadler	die Reichskrone	
217	general	DE	217	In welchem Zeitraum gab es die Deutsche Demokratische Republik (DDR)?	1919 bis 1927	1933 bis 1945	1945 bis 1961	1949 bis 1990	
218	general	DE	218	Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?	4	5	6	7	Official PDF uses numeric-only answer options.
219	general	DE	219	Die Bundesrepublik Deutschland hat die Grenzen von heute seit …	1933	1949	1971	1990	Official PDF uses numeric-only answer options.
220	general	DE	220	Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?	an das Ende des Zweiten Weltkrieges	an die Verabschiedung des Grundgesetzes	an die Wiedervereinigung Deutschlands	an die Opfer des Nationalsozialismus (Tag der Befreiung des Vernichtungslagers Auschwitz)	
221	general	DE	221	Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?	Deutsche können in viele Länder Europas ohne Passkontrolle reisen.	Alle Menschen können ohne Personenkontrolle in Deutschland einreisen.	Deutsche können ohne Passkontrolle in jedes Land reisen.	Deutsche können in jedem Land mit dem Euro bezahlen.	
222	general	DE	222	Welches Land ist ein Nachbarland von Deutschland?	Ungarn	Portugal	Spanien	Schweiz	
223	general	DE	223	Welches Land ist ein Nachbarland von Deutschland?	Rumänien	Bulgarien	Polen	Griechenland	
224	general	DE	224	Was bedeutet die Abkürzung EU?	Europäische Unternehmen	Europäische Union	Einheitliche Union	Euro Union	
225	general	DE	225	In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?	Tschechien	Norwegen	Spanien	Österreich	
226	general	DE	226	Welche ist die Flagge der Europäischen Union?	Bild 1	Bild 2	Bild 3	Bild 4	Official PDF uses image labels for answer options.
227	general	DE	227	Welches Land ist ein Nachbarland von Deutschland?	Finnland	Dänemark	Norwegen	Schweden	
228	general	DE	228	Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?	NATO-Osterweiterung	EU-Osterweiterung	Deutsche Wiedervereinigung	Europäische Gemeinschaft	
229	general	DE	229	Welches Land ist ein Nachbarland von Deutschland?	Spanien	Bulgarien	Norwegen	Luxemburg	
230	general	DE	230	Das Europäische Parlament wird regelmäßig gewählt, nämlich alle …	5 Jahre.	6 Jahre.	7 Jahre.	8 Jahre.	
231	general	DE	231	"Was bedeutet der Begriff ""europäische Integration""?"	Damit sind amerikanische Einwanderinnen und Einwanderer in Europa gemeint.	Der Begriff meint den Einwanderungsstopp nach Europa.	Damit sind europäische Auswanderinnen und Auswanderer in den USA gemeint.	Der Begriff meint den Zusammenschluss europäischer Staaten zur EU.	
232	general	DE	232	Wer wird bei der Europawahl gewählt?	die Europäische Kommission	die Länder, die in die EU eintreten dürfen	die Abgeordneten des Europäischen Parlaments	die europäische Verfassung	
233	general	DE	233	Welches Land ist ein Nachbarland von Deutschland?	Tschechien	Bulgarien	Griechenland	Portugal	
234	general	DE	234	Wo ist ein Sitz des Europäischen Parlaments?	London	Paris	Berlin	Straßburg	
235	general	DE	235	Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich? © Bundesregierung/Richard Schulze-Vorberg	Freundschaft zwischen England und Deutschland	Reisefreiheit in alle Länder der EU	Frieden und Sicherheit in den Ländern der EU	einheitliche Feiertage in den Ländern der EU	
236	general	DE	236	Wie viele Mitgliedstaaten hat die EU heute?	21	23	25	27	Official PDF uses numeric-only answer options.
237	general	DE	237	"2007 wurde das 50-jährige Jubiläum der ""Römischen Verträge"" gefeiert. Was war der Inhalt der Verträge?"	Beitritt Deutschlands zur NATO	Gründung der Europäischen Wirtschaftsgemeinschaft (EWG)	Verpflichtung Deutschlands zu Reparationsleistungen	Festlegung der Oder-Neiße-Linie als Ostgrenze	
238	general	DE	238	An welchen Orten arbeitet das Europäische Parlament?	Paris, London und Den Haag	Straßburg, Luxemburg und Brüssel	Rom, Bern und Wien	Bonn, Zürich und Mailand	
239	general	DE	239	Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?	"durch die ""Hamburger Verträge"""	"durch die ""Römischen Verträge"""	"durch die ""Pariser Verträge"""	"durch die ""Londoner Verträge"""	
240	general	DE	240	Seit wann bezahlt man in Deutschland mit dem Euro in bar?	1995	1998	2002	2005	Official PDF uses numeric-only answer options.
241	general	DE	241	Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?	Sie muss an ihre Krankenkasse schreiben.	Sie muss einen Antrag bei der Elterngeldstelle stellen.	Sie muss nichts tun, denn sie bekommt automatisch Elterngeld.	Sie muss das Arbeitsamt um Erlaubnis bitten.	
242	general	DE	242	Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?	der Staat	die Bundesländer	die Eltern/die Erziehungsberechtigten	die Schulen	
243	general	DE	243	Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?	Sie müssen die Demonstration anmelden.	Sie müssen nichts tun. Man darf in Deutschland jederzeit überall demonstrieren.	Sie können gar nichts tun, denn Demonstrationen sind in Deutschland grundsätzlich verboten.	Maik und Sybille müssen einen neuen Verein gründen, weil nur Vereine demonstrieren dürfen.	
244	general	DE	244	Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?	das Abitur	ein Diplom	die Prokura	eine Gesellenprüfung	
245	general	DE	245	Wer darf in Deutschland nicht als Paar zusammenleben?	Hans (20 Jahre) und Marie (19 Jahre)	Tom (20 Jahre) und Klaus (45 Jahre)	Sofie (35 Jahre) und Lisa (40 Jahre)	Anne (13 Jahre) und Tim (25 Jahre)	
246	general	DE	246	Ab welchem Alter ist man in Deutschland volljährig?	16	18	19	21	Official PDF uses numeric-only answer options.
247	general	DE	247	Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?	Elternzeit	Mutterschutz	Geburtsvorbereitung	Wochenbett	
248	general	DE	248	Die Erziehung der Kinder ist in Deutschland vor allem Aufgabe …	des Staates.	der Eltern.	der Großeltern.	der Schulen.	
249	general	DE	249	Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?	der Staat	die Eltern	die Verwandten	die Schulen	
250	general	DE	250	In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man …	katholisch ist.	gut ausgebildet ist.	eine Frau ist.	Mitglied einer Partei ist.	
251	general	DE	251	Wenn man in Deutschland ein Kind schlägt, …	geht das niemanden etwas an.	geht das nur die Familie etwas an.	kann man dafür nicht bestraft werden.	kann man dafür bestraft werden.	
252	general	DE	252	In Deutschland …	darf man zur gleichen Zeit nur mit einer Partnerin/einem Partner verheiratet sein.	kann man mehrere Ehepartnerinnen/Ehepartner gleichzeitig haben.	darf man nicht wieder heiraten, wenn man einmal verheiratet war.	darf eine Frau nicht wieder heiraten, wenn ihr Mann gestorben ist.	
253	general	DE	253	Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?	beim Einwohnermeldeamt	beim Standesamt	beim Ordnungsamt	beim Gewerbeamt	
254	general	DE	254	"In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das ""Trennungsjahr"" einhalten. Was bedeutet das?"	Der Scheidungsprozess dauert ein Jahr.	Die Ehegatten sind ein Jahr verheiratet, dann ist die Scheidung möglich.	Das Besuchsrecht für die Kinder gilt ein Jahr.	Die Ehegatten führen mindestens ein Jahr getrennt ihr eigenes Leben. Danach ist die Scheidung möglich.	
255	general	DE	255	Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom …	Ordnungsamt.	Schulamt.	Jugendamt.	Gesundheitsamt.	
256	general	DE	256	Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?	eine Erlaubnis der Polizei	eine Genehmigung einer Partei	eine Genehmigung des Einwohnermeldeamts	eine Gaststättenerlaubnis von der zuständigen Behörde	
257	general	DE	257	Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an …	einer Hochschule.	einem Abendgymnasium.	einer Hauptschule.	einer Privatuniversität.	
258	general	DE	258	Was darf das Jugendamt in Deutschland?	Es entscheidet, welche Schule das Kind besucht.	Es kann ein Kind, das geschlagen wird oder hungern muss, aus der Familie nehmen.	Es bezahlt das Kindergeld an die Eltern.	Es kontrolliert, ob das Kind einen Kindergarten besucht.	
259	general	DE	259	Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der …	Rentenberechnung.	Lehrstellensuche.	Steuererklärung.	Krankenversicherung.	
260	general	DE	260	In Deutschland hat ein Kind in der Schule …	Recht auf unbegrenzte Freizeit.	Wahlfreiheit für alle Fächer.	Anspruch auf Schulgeld.	Anwesenheitspflicht.	
261	general	DE	261	Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An …	einer Hochschule.	einem Abendgymnasium.	einer Hauptschule.	einer Privatuniversität.	
262	general	DE	262	Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?	Niemand darf z.B. wegen einer Behinderung benachteiligt werden.	Man darf andere Personen benachteiligen, wenn ausreichende persönliche Gründe hierfür vorliegen.	Niemand darf gegen Personen klagen, wenn sie benachteiligt wurden.	Es ist für alle Gesetz, benachteiligten Gruppen jährlich Geld zu spenden.	
263	general	DE	263	In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, …	werden bestraft.	werden wie Erwachsene behandelt.	teilen die Strafe mit ihren Eltern.	werden nicht bestraft.	
